group,action,target,refs,linking_pages
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/countdown-timer/js/fergcorp_countdownTimer_java.js,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/countdown-timer/js/webtoolkit.sprintf.js,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/themes/magazine-premium/library/js/bootstrap.min.js,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/themes/magazine-premium/library/js/harvey.min.js,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/themes/magazine-premium/library/js/theme.js,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-includes/js/jquery/jquery-migrate.min.js,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-includes/js/jquery/jquery.js,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-includes/js/wp-embed.min.js,12,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-content/plugins/akismet/_inc/form.js,11,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
D. Plugin/theme asset,"asset never mirrored - drop the reference, or vendor a copy",blog/wp-includes/js/comment-reply.min.js,11,blog/book-recommendation-怨み屋本舗-uramiya-honpo/index.html | blog/compromise-maintaining-your-immersion-environment-without-completely-alienating-your-fellows…or-yourself/index.html | blog/further-reading-on-どんだけ/index.html | blog/goodbye-khatzumemo-hello-surusu-the-spaced-repetition-制ystem/index.html | blog/how-to-read-out-the-things-that-aren’t-written-in-japanese-military-style-numerals/index.html | blog/learning-like-a-native-どんだけ～/index.html
